Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
22068,24.71,20.31,19.82,19.34,19.82
22108,24.71,20.31,19.34,19.34,19.82
22147,25.20,20.31,19.34,19.82,19.82
22187,24.71,20.31,19.82,19.34,19.82
22225,24.71,20.31,19.82,19.34,19.34
22265,24.71,20.31,19.82,19.34,19.34
22305,25.20,20.31,19.82,19.34,19.82
22344,24.71,20.80,19.34,19.34,19.82
22384,24.71,20.31,19.82,19.34,19.82
22423,25.20,20.31,19.82,19.82,19.82
22463,25.20,20.31,19.34,19.34,19.34
22502,24.71,20.31,19.82,19.34,19.34
22542,24.71,20.31,19.34,19.34,19.82
22582,25.20,20.31,19.82,19.82,19.82
22621,25.20,20.31,19.82,19.34,19.82
22661,24.71,20.31,19.34,19.34,19.82
22700,24.71,20.31,19.34,19.82,19.82
22739,24.71,20.31,19.82,19.34,19.82
22779,24.71,20.31,19.82,19.34,19.34
22818,24.71,20.31,19.82,19.34,19.34
22858,25.20,20.31,19.34,19.34,19.82
22897,24.71,20.31,19.82,19.34,19.34
22937,24.71,20.31,19.82,19.34,19.34
22977,25.20,20.31,19.82,19.34,19.34
23016,25.20,20.31,19.82,19.82,19.82
23056,24.71,20.31,19.34,19.34,19.82
23095,25.20,20.31,19.82,19.34,19.34
23135,24.71,20.31,19.82,19.34,19.34
23175,25.20,20.31,19.82,19.82,19.82
23214,24.71,20.80,19.82,19.34,19.34
23254,25.20,20.31,19.82,19.34,19.82
23292,25.20,20.31,19.82,19.34,19.82
23332,25.20,20.31,19.82,19.34,19.82
23372,25.20,20.31,19.82,18.85,19.82
